date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
31/08/2015;740.54;3231.9;642.39;1265.63;691.87;NA
01/09/2015;931;4599.67;1459.28;2672.9;1336.92;NA
02/09/2015;944.03;2026.92;1064;1525.45;2180;NA
03/09/2015;1366.58;1076.24;1024.76;1922.65;2750.84;NA
04/09/2015;519.5;NA;553.28;1356.6;541.04;NA
05/09/2015;2312.87;NA;2151.28;1601.05;1979.44;NA
06/09/2015;1592.01;NA;923.02;1106.56;880.99;NA
07/09/2015;809.97;NA;1092.06;2963.24;1611.96;NA
08/09/2015;1490.27;NA;921.69;1589.08;1519.39;NA
09/09/2015;907.72;NA;869.02;2696.71;1694.15;NA
10/09/2015;790.02;4642.5;1079.03;NA;1723.41;NA
11/09/2015;1514.26;1121.19;1337.85;NA;1578.05;NA
12/09/2015;975.42;422.94;692.26;NA;475.48;NA
13/09/2015;1210.3;1574.72;2078.92;NA;3724;NA
14/09/2015;3805.26;764.88;2664.26;NA;6218.92;NA
15/09/2015;3121.78;2412.89;1122.52;NA;3629.97;NA
16/09/2015;568.18;1051.37;445.28;1677.13;NA;NA
17/09/2015;2215.78;2771.45;3080.55;3433.79;3503.22;NA
18/09/2015;1205.51;2551.21;1373.22;2845.4;4280.47;NA
19/09/2015;4744.38;2398.26;1899.24;1559.42;1359.26;NA
20/09/2015;3116.86;1284.78;630.42;2740.33;1518.59;NA
21/09/2015;1173.06;2017.61;880.46;2319.52;1510.88;NA
22/09/2015;840.29;433.31;789.49;1651.86;1137.82;NA
23/09/2015;11367.51;1185.03;8139.73;3485.66;4865.41;NA
24/09/2015;1007.87;497.95;689.47;1974.43;840.29;NA
25/09/2015;528.81;2038.49;404.05;1523.12;1697.75;NA
26/09/2015;529.87;3523.3;452.47;1587.45;2188.65;NA
27/09/2015;891.63;NA;1069.72;1963.21;1968.53;NA
28/09/2015;1423.1;5104.27;1237.7;3806.46;4287.92;NA
29/09/2015;644.78;4535.57;542.64;NA;3350.8;NA
30/09/2015;1933.16;2918.29;1146.99;3775.6;3934.14;NA
01/10/2015;951.6;532;1806.14;2593.37;1899.24;NA
02/10/2015;2077.19;186.73;600.5;5707.22;750.12;NA
